cat,caption,label,caption_small,original_caption,self_written_caption
Leonberg,a photo of leonberg is laying in the grass in the yard; a photo of leonberg dog laying on the ground in the fall; a photo of leonberger dog with a trophy and a man standing next to him; a photo of leonberg dog standing in the grass in front of a hedge; a photo of leonberg standing in the grass with its tongue out; a photo of leonberg standing in the snow with his tongue out; a photo of leonberg dog laying on the ground with his owner in the background; a photo of leonberg dog standing in the snow in the winter; a photo of leonberg dog with all its features labeled; a photo of leonberg dog laying on a rock by the water; a photo of leonberger with his dogs at a dog show; a photo of leonberg dog being walked by a man in a park; a photo of leonberger dog being walked by a man in a red shirt; a photo of leonberg puppy laying on a yellow blanket; a photo of leonberger dog standing in front of a crowd of people; a photo of leonberger dog with his owner and handler; a photo of leonberg dog laying in the grass with his tongue out; a photo of leonberg standing in the snow in front of a tree; a photo of leonberger dog sitting in a field with his tongue out; a photo of leonberg dog running in the yard with a frisbee in its mouth; ,288,"A photo of leonberg is laying in the grass in the yard. A photo of a dog with a trophy and a man standing next to him. a photo of dog standing in the snow in front of a tree. Overall, this is a photo of Leonberg",a photo of Leonberg,a dog photo of a Leonberg
Bedlington_terrier,a photo of bedlington terrier standing in a field of grass; a photo of bedlington terrier standing on a blue background; a photo of bedlington terrier standing in a field of grass; a photo of bedlington terrier dog laying on the floor in front of a window; a photo of bedlington terrier dog sleeping on a blanket; a photo of bedlington terrier dog in shallow water with stick in mouth; a photo of bedlington terrier standing in the grass; a photo of bedlington terrier dog laying on a blanket with a toy; a photo of bedlington terrier on the beach with seaweed; a photo of bedlington terrier standing on a table in a room; a photo of bedlington terrier standing in front of a tree; a photo of bedlington terrier standing on a table with people in the background; a photo of bedlington terrier standing on a rock in the desert; a photo of bedlington terrier dog laying on a pink quilt; a photo of bedlington terrier dog sitting in the drivers seat of a car; a photo of bedlington terrier standing in a field of grass; a photo of bedlington terrier dog with a red collar standing next to a dolly; a photo of bedlington terrier and woman sitting on a couch; a photo of bedlington terrier standing in a garden at night; a photo of bedlington terrier standing in a field of grass; ,289,"A photo of bedlington terrier dog in shallow water with stick in mouth. A photo of dog laying on a blanket with a toy; a photo of  dog on the beach with seaweed.  Photo of dog on a table with people in the background. Overall, this is a photo of Bedlington terrier",a photo of Bedlington terrier,a dog photo of a Bedlington terrier
Newfoundland,a photo of newfoundland sheep standing on a beach with a rocky cliff in the background; a photo of newfoundland black dog laying on the floor with a white cat; a photo of newfoundlander dog carrying a purple frisbee in its mouth; a photo of newfoundland black dog standing in a field of grass; a photo of newfoundlandian dog laying on the ground with his tongue out; a photo of newfoundlandian dog sitting in a wooden room; a photo of newfoundland black puppy sitting in the grass; a photo of newfoundland bear sitting in the grass with a frisbee in its mouth; a photo of newfoundland bear dog sitting in a boat on a lake; a photo of newfoundlandian man laying on the floor with his dog; a photo of newfoundlandian dog sitting in the grass with its tongue out; a photo of newfoundland bear dog sitting on a rock in the woods; a photo of newfoundlandian dog and child sitting in the grass; a photo of newfoundland bear dog standing in a field of grass; a photo of newfoundland bear dog sitting on a man's lap; a photo of newfoundland bear dog standing in a field of grass; a photo of newfoundland bear dog sitting in a field of grass; a photo of newfoundlandian dog sitting on a table with a woman standing beside her; a photo of newfoundlandian dog standing on the beach looking at the camera; a photo of newfoundlandian dog laying in the snow with red eyes; ,290,"A photo of newfoundland sheep standing on a beach with a rocky cliff in the background. A photo of a dog carrying a purple frisbee in its mouth. a photo of dog sitting on a table with a woman standing beside her. Overall, this is a photo of Newfoundland",a photo of Newfoundland,a dog photo of a Newfoundland
Lhasa,a photo of lhasa dog standing in the grass in front of a bush; a photo of lhasa dog laying on a bed with a green comforter; a photo of lhasa dog sitting on tiled floor with tongue out; a photo of lhasa dog running with a ball in its mouth; a photo of lhasa dog with yellow bow laying on floor; a photo of lhasa dog sitting on a red blanket in front of a fence; a photo of lhasa dog standing in a kitchen looking at the camera; a photo of lhasa dog standing on a rug in a living room; a photo of lhasa puppy sitting on a person's lap; a photo of lhasa dog sitting on the floor looking at the camera; a photo of lhasa dog laying down on a white surface; a photo of lhasa dog sitting on a blue background; a photo of lhasa dog wearing a pink and black shirt; a photo of lhasa dog and man in bed with pillows; a photo of lhasa dog standing on a black chair in a salon; a photo of lhasa dog looking through a glass door; a photo of lhasa dog standing on grass looking up at the camera; a photo of lhasa dog laying on a bed with a pillow; a photo of lhasa dog sitting on a grooming table; a photo of lhasa dog laying in the grass with its tongue out; ,291,"A photo of lhasa dog with a ball in its mouth. A photo of a dog sitting on a red blanket in front of a fence. a photo of  a dog standing on a rug in a living room. Overall, this is a photo of Lhasa",a photo of Lhasa,a dog photo of a Lhasa
Chesapeake_Bay_retriever,a photo of chesapeake bay retriever puppy laying in the grass; a photo of chesapeake bay retriever standing in a field of grass; a photo of chesapeake bay retriever puppy laying in the grass with a toy; a photo of chesapeake bay retriever jumping over a blue and white table; a photo of chesapeake bay retriever standing in a barn; a photo of chesapeake bay retriever sitting in a field of tall grass; a photo of chesapeake bay retriever standing in water with grass; a photo of chesapeake bay retriever sitting on the floor with his tongue out; a photo of chesapeake bay retriever puppy standing in leaves; a photo of chesapeake bay retriever sitting on a man's lap with his dog; a photo of chesapeake bay retriever sitting in the grass; a photo of chesapeake bay retriever sitting on a couch with his paw on the floor; a photo of chesapeake bay retriever in shallow water with trees in background; a photo of chesapeake bay retriever sitting in the back seat of a car; a photo of chesapeake bay retriever dog on a wooden ramp; a photo of chesapeake bay retriever in shallow water with leash; a photo of chesapeake bay retriever standing on hardwood floor looking up; a photo of chesapeake bay retriever dog laying on a rug under a table; a photo of chesapeake bay retriever standing in the woods; a photo of chesapeake bay retriever standing in a field with a dog; ,292,"A photo of chesapeake bay retriever standing in a field of tall grass. A photo of a man's lap with his dog; a photo of the man's dog on a couch with his paw on the floor. A picture of a dog in shallow water with trees in background Overall, this is a photo of Chesapeake Bay retriever",a photo of Chesapeake Bay retriever,a dog photo of a Chesapeake Bay retriever
Lakeland_terrier,a photo of lakeland terrier puppy wearing a christmas hat; a photo of lakeland terrier dog sitting on a bed with a pipe in its mouth; a photo of lakeland terrier dog wearing a reindeer hat; a photo of lakeland terrier puppy under a christmas tree; a photo of lakeland terrier dog laying in the grass; a photo of lakeland terrier puppy being held by a man; a photo of lakeland terrier dog sitting in the grass; a photo of lakeland terrier standing in a field with a leash; a photo of lakeland terrier dog in a red christmas sweater with a book; a photo of lakeland terrier dog in santa outfit standing in front of christmas tree; a photo of lakeland terrier being groomed at a dog show; a photo of lakeland terrier puppy sitting on a person's hand; a photo of lakeland terrier sitting on a bed looking up; a photo of lakeland terrier running in a competition; a photo of lakeland terrier dog sitting at a table with a glass of beer; a photo of lakeland terrier in a black and white hat holding a white dog; a photo of lakeland terrier dog sitting in the shade of a tree; a photo of lakeland terrier standing in a grassy field; a photo of lakeland terrier looking up at the camera; a photo of lakeland terrier dog standing under a table on a deck; ,293,"A photo of lakeland terrier dog sitting on a bed with a pipe in its mouth. A photo of dog in a red christmas sweater with a book. a photo of  dog in santa outfit standing in front of christmas tree. Overall, this is a photo of Lakeland terrier",a photo of Lakeland terrier,a dog photo of a Lakeland terrier
Walker_hound,a photo of walker hound dog standing in front of a wall; a photo of walker hound dog jumping on a rock in a park; a photo of walker hound sitting in the grass looking up; a photo of walker hound standing on grass with a person holding a leash; a photo of walker hound puppy being held by a person; a photo of walker hound dog with red collar and red leash; a photo of walker hound dog sitting on a lawn chair; a photo of walker hound dog laying on a green leather couch; a photo of walker hound dog with tongue out standing in hallway; a photo of walker hound sitting on a blue rug on a porch; a photo of walker hound dog with blue eyes standing in a room; a photo of walker hound sitting in grass next to a fence; a photo of walker hound dog standing on blue carpet with owner; a photo of walker hound standing in a grassy field with a red house in the background; a photo of walker hound standing on a rock in a wooded area; a photo of walker hound dog walking on dirt road in open field; a photo of walker hound dog laying on the floor with a stuffed animal; a photo of walker hound dog walking in a field of dry grass; a photo of walker hound puppy sniffing a rat trap in a yard; a photo of walker hound dog sitting on a bed with a blanket; ,294,"A photo of walker hound dog with red collar and red leash. A photo of a dog with blue eyes standing in a room. a photo of dog with tongue out standing in hallway. Overall, this is a photo of Walker hound",a photo of Walker hound,a dog photo of a Walker hound
American_Staffordshire_terrier,a photo of american staffordshire terrier dog standing in the leaves; a photo of american staffordshire terrier dog laying on the floor with a tennis ball in its mouth; a photo of american staffordshire terrier standing on a brick surface; a photo of american staffordshire terrier dog standing in front of a tree; a photo of american staffordshire terrier dog laying in the grass; a photo of american staffordshire terrier dog standing in tall grass; a photo of american staffordshire terrier dog laying on a patio with a hose; a photo of american staffordshire terrier dog standing in a field; a photo of american staffordshire terrier dog on a leash on a city street; a photo of american staffordshire terrier dog laying in the grass with a toy; a photo of american staffordshire terrier puppy standing on a blue rug; a photo of american staffordshire terrier dog standing in the snow; a photo of american staffordshire terrier puppy standing on a leash; a photo of american staffordshire terrier dog with tongue out looking at camera; a photo of american staffordshire terrier puppy laying on a person's lap; a photo of american staffordshire terrier puppy running in the grass; a photo of american staffordshire terrier dog laying in the grass; a photo of american staffordshire terrier dog dressed up as superman; a photo of american staffordshire terrier standing on a white background; a photo of american staffordshire terrier dog sitting on a dirt road; ,295,"A photo of a dog with a tennis ball in its mouth. A photo of an american staffordshire terrier dog standing on a brick surface. A picture of an American Staffordshire Terrier puppy running in the grass. Overall, this is a photo of American Staffordshire terrier",a photo of American Staffordshire terrier,a dog photo of a American Staffordshire terrier
otterhound,a photo of otterhound dog sitting in a field of grass; a photo of otterhound standing in a field of grass; a photo of otterhounder standing on hind legs with a man in a hat and jacket; a photo of otterhound dog standing in a field of grass; a photo of otterhound dog sitting in a field of grass; a photo of otterhound dog sitting in a field with a frisbee; a photo of otterhound dog standing in a grassy field; a photo of otterhound dog standing in a field with trees in the background; a photo of otterhound dog with sunglasses on sitting in the grass; a photo of otterhound and a girl sitting on a step with a dog; a photo of otterhound dog laying in the grass with a frisbee; a photo of otterhound dog standing in a field of grass; a photo of otterhound dog sitting on grass in front of a bench; a photo of otterhound dog with a blue hat on; a photo of otterhound dog standing on a dock by a lake; a photo of otterhound dog standing on a leash with a white background; a photo of otterhound sitting in the grass with a frisbee in its mouth; a photo of otterhound puppy being groomed by a person; a photo of otterhound running in the grass with a frisbee; a photo of otterhound dog standing in a grassy field; ,296,"A photo of otterhound sitting in the grass with a frisbee in its mouth. A photo of Otterhound standing on hind legs with a man in a hat and jacket. Overall, this is a photo of otterhound",a photo of otterhound,a dog photo of a otterhound
Sussex_spaniel,a photo of sussex spaniel sitting in the snow with a snowball in its mouth; a photo of sussex spaniel sitting in the grass looking up; a photo of sussex spaniel dog with a stick in its mouth; a photo of sussex spaniel dog laying in the grass with frisbees; a photo of sussex spaniel dog on leash at dog show; a photo of sussex spaniel dog licking a bowl of food; a photo of sussex spaniel sitting on a couch with pillows; a photo of sussex spaniel standing in front of a white background; a photo of sussex spaniel sitting in the grass with a stick in its mouth; a photo of sussex spaniel puppy sitting on a patio; a photo of sussex spaniel sitting in the grass with its tongue out; a photo of sussex spaniel standing on a road; a photo of sussex spaniel puppy sitting on a sidewalk; a photo of sussex spaniel dog with a tennis shoe on; a photo of sussex spaniel dog standing on its hind legs; a photo of sussex spaniel laying in the grass with a leash; a photo of sussex spanieler dog on leash at show; a photo of sussex spaniel standing on a dirt path; a photo of sussex spaniel puppy standing on a rock; a photo of sussex spanieler dog running on green grass; ,297,"A photo of sussex spaniel sitting in the snow with a snowball in its mouth. A photo of a dog with a tennis shoe on; a photo of  dog standing on its hind legs;  a photo  of dog laying in the grass with a leash. Overall, this is a photo of Sussex spaniel",a photo of Sussex spaniel,a dog photo of a Sussex spaniel
Norwegian_elkhound,a photo of norwegian elkhound dog laying in the snow; a photo of norwegian elkhound puppy laying on the floor; a photo of norwegian elkhound dog laying on a bed with a stuffed animal; a photo of norwegian elkhound dog laying in the grass; a photo of norwegian elkhound dog running in the grass; a photo of norwegian elkhound puppy standing on a hardwood floor; a photo of norwegian elkhound dog standing in the grass; a photo of norwegian elkhound puppy sitting on the floor in front of a bookcase; a photo of norwegian elkhound dog laying on a blanket; a photo of norwegian elkhound dog with a bandana standing in the grass; a photo of norwegian elkhound dog standing in front of a white background; a photo of norwegian elkhound dog laying in a pile of leaves; a photo of norwegian elkhound dog with a cast on his leg; a photo of norwegian elkhound dog standing in the grass; a photo of norwegian elkhound dog laying in the leaves; a photo of norwegian elkhound dog wearing a patriotic bandana; a photo of norwegian elkhound dog laying in the grass; a photo of norwegian elkhound dog looking up at the camera; a photo of norwegian elkhound dog standing in front of a door; a photo of norwegian elkhound dog laying in the grass; ,298,"A photo of norwegian elkhound dog laying on a bed with a stuffed animal. A photo of a dog with a bandana standing in the grass; a photo of  a dog standing in front of a white background. A picture of a puppy standing on a hardwood floor Overall, this is a photo of Norwegian elkhound",a photo of Norwegian elkhound,a dog photo of a Norwegian elkhound
bluetick,a photo of bluetick dog with a leash being walked by a person; a photo of bluetick hound standing in a field of grass; a photo of bluetick hound dog sitting on a black blanket in front of a fireplace; a photo of bluetick dog on leash by water at sunset; a photo of bluetick dog sitting in the grass with his tongue out; a photo of bluetick hound standing in the woods with his tongue out; a photo of bluetick hound laying in the grass in front of a fence; a photo of bluetick dog laying on a couch with his head on the armrest; a photo of bluetick dog playing with a red ball in a living room; a photo of bluetick pointer dog standing in front of a lake; a photo of bluetick hound dog with ears up looking at the camera; a photo of bluetick puppy running in the grass with its mouth open; a photo of bluetick hound puppy standing in grass looking at the camera; a photo of bluetick dog and woman in water with rocks; a photo of bluetick dog and man sitting on red carpet; a photo of bluetick hound standing in a field with a red collar; a photo of bluetick dog sitting on a blue bed with a stuffed animal; a photo of bluetick hound standing in a grassy field; a photo of bluetick dog sitting on the floor next to a blue ball; a photo of bluetick dog laying under a table with a cat on it; ,299,"A photo of bluetick dog with a leash being walked by a person. A photo of a dog playing with a red ball in a living room. a photo of dog sitting on a blue bed with a stuffed animal. Overall, this is a photo of bluetick",a photo of bluetick,a dog photo of a bluetick
dingo,a photo of dingo dog sitting on a rug in a living room; a photo of dingo dog walking on dirt ground with red rocks in background; a photo of dingo dog standing on a beach looking at the camera; a photo of dingo standing on the beach next to a body of water; a photo of dingo dog walking along a gravel road; a photo of dingo standing on a rock in a tropical setting; a photo of dingo dog laying on a pink blanket with a girl in pajamas; a photo of dingo dog laying in the grass on a sunny day; a photo of dingo dog standing on a log in the woods; a photo of dingo dog sitting in the back of a car; a photo of dingo dog standing in a grassy field; a photo of dingo dog standing in a grassy area next to a tree; a photo of dingo puppy sitting on the ground in the dirt; a photo of dingo standing on a rock in the desert; a photo of dingo standing on a dirt path in the woods; a photo of dingo dog in a bathtub looking up at the camera; a photo of dingo dog standing on a tree stump in a forest; a photo of dingo standing on a rock in a zoo enclosure; a photo of dingo dog standing in a field of grass; a photo of dingo dog standing on dirt road in open area; ,300,"A photo of dingo dog sitting on a rug in a living room. A photo of  dingo standing on a rock in a tropical setting. a photo of a dingo puppy sitting on the ground in the dirt. Overall, this is a photo of dingo",a photo of dingo,a dog photo of a dingo
Irish_water_spaniel,a photo of irish water spaniel standing in a field; a photo of irish water spaniel sitting in a field; a photo of irish water spaniel dog sitting in front of a door; a photo of irish water spaniel standing on a rock; a photo of irish water spaniel standing in a grassy field; a photo of irish water spaniels being judged at a dog show; a photo of irish water spaniel dog with curly hair sitting in front of a door; a photo of irish water spaniel dog laying on a bed; a photo of irish water spaniel running on the beach; a photo of irish water spaniel sitting in a doorway; a photo of irish water spaniel laying on the floor with a tennis ball; a photo of irish water spaniel in a blue shirt; a photo of irish water spaniel laying on the ground; a photo of irish water spaniel dog laying on a rock by a lake; a photo of irish water spaniel sitting on a rock; a photo of irish water spaniel standing on a sidewalk; a photo of irish water spaniel sitting on the floor in a kitchen; a photo of irish water spaniel standing on a rock; a photo of irish water spaniel laying in the grass; a photo of irish water spaniel sitting on a rug in front of a bed; ,301,"A photo of irish water spaniels being judged at a dog show. A photo of a dog with curly hair sitting in front of a door. Overall, this is a photo of Irish water spaniel",a photo of Irish water spaniel,a dog photo of a Irish water spaniel
Samoyed,a photo of samoyed dog standing in a snow covered area; a photo of samoyed dog standing on a table next to a person; a photo of samoyed dog standing in a field with its tongue out; a photo of samoyed dog with leash on a wooden fence; a photo of samoyed dog standing in front of a refrigerator; a photo of samoyed dog sitting on the floor in front of a chair; a photo of samoyed dog sitting on the floor with its front paws on the floor; a photo of samoyed dog sitting on tiled floor in kitchen; a photo of samoyed dog with a blue bandanna sitting in the grass; a photo of samoyed dog laying on the floor with a red bow tie; a photo of samoyed dog in a red vest standing in a garden; a photo of samoyed dog standing in front of a fence; a photo of samoyed dog playing with a toy on the floor; a photo of samoyed dog standing on a pink blanket in front of a window; a photo of samoyed dog standing in front of a store; a photo of samoyed dog with tongue out in the woods; a photo of samoyed dog standing on grass with leash; a photo of samoyed dog standing on a sidewalk in a city; a photo of samoyed dog standing in front of a woman at a dog show; a photo of samoyed dog sitting on a stone walkway in the park; ,302,"A photo of samoyed dog standing on a table next to a person. A photo of a dog with a blue bandanna sitting in the grass. a photo of  a dog in a red vest standing in a garden. Overall, this is a photo of Samoyed",a photo of Samoyed,a dog photo of a Samoyed
Fila_Braziliero,a photo of fila braziliero with a gun and a dog; a photo of fila braziliero dog being trained by a woman; a photo of fila braziliero holding a puppy in his arms; a photo of fila braziliero dog sitting on a pedestal outside a store; a photo of fila braziliero and a black labie in the snow; a photo of fila braziliero sitting in a field with a frisbee in its; a photo of fila braziliero dog with his tongue out; a photo of fila braziliero dog laying on the floor with his tongue hanging out; a photo of fila braziliero dog running with a woman; a photo of fila braziliero standing on a sidewalk next to a fence; a photo of fila braziliero dog with tongue sticking out; a photo of fila braziliero puppy in a pot with his owner; a photo of fila braziliero dog running in the grass; a photo of fila braziliero dog being trained by a man; a photo of fila braziliero dog walking on a sidewalk; a photo of fila braziliero dog standing in a field with a man standing next to; a photo of fila braziliero dog laying in the grass; a photo of fila braziliero sitting in the grass with his tongue out; a photo of fila braziliero dog laying in the grass; a photo of fila braziliero standing in the water; ,303,"A photo of fila braziliero sitting in a field with a frisbee in its. A photo of a dog with his tongue out; a photo of the dog laying on the floor with its tongue hanging out. A picture of a man with a gun and a dog Overall, this is a photo of Fila Braziliero",a photo of Fila Braziliero,a dog photo of a Fila Braziliero
standard_schnauzer,a photo of standard schnauzer standing in front of a door; a photo of standard schnauzer dog sitting in front of a door; a photo of standard schnauzer standing in a studio setting; a photo of standard schnauzer dog standing in a grassy field; a photo of standard schnauzer standing on a porch in front of a door; a photo of standard schnauzer dog sitting on the beach; a photo of standard schnauzer sitting in the grass with a frisbee in its; a photo of standard schnauzer dog standing on a table; a photo of standard schnauzer sitting on a white background; a photo of standard schnauzer dog with a purple hat on; a photo of standard schnauzer grooming a dog in a cage; a photo of standard schnauzer dog sitting on a green carpet; a photo of standard schnauzer dog with tongue out in grassy area; a photo of standard schnauzer puppy with blue eyes being held by a person; a photo of standard schnauzer sitting on a white background; a photo of standard schnauzer dog with pink bandanna sitting on door mat; a photo of standard schnauzer dog sitting in front of a white background; a photo of standard schnauzer dog sitting on a white background; a photo of standard schnauzer dog laying in the grass; a photo of standard schnauzer and a young boy playing with pacifier; ,304,"A photo of standard schnauzer standing in front of a door. A photo of a dog sitting in the grass with a frisbee in its. a photo of  a dog with a purple hat on. Overall, this is a photo of standard schnauzer",a photo of standard schnauzer,a dog photo of a standard schnauzer
Mexican_hairless,a photo of mexican hairless dog standing on a sidewalk; a photo of mexican hairless dog being pet by a person; a photo of mexican hairless dog standing in a field; a photo of mexican hairless dog sitting on the floor; a photo of mexican hairless dog standing on a stone patio; a photo of mexican hairless dog standing on hind legs on leash; a photo of mexican hairless dog with a pink collar and a red leash; a photo of mexican hairless dog laying on a red blanket; a photo of mexican hairless dog standing in a field; a photo of mexican hairless dog standing in the grass; a photo of mexican hairless dog standing on a dirt road; a photo of mexican hairless dog standing on hind legs looking through a glass door; a photo of mexican hairless dog sitting on a window sill; a photo of mexican hairless dog standing on a blue carpet; a photo of mexican hairless dog with tongue sticking out; a photo of mexican hairless dog sitting in dry grass; a photo of mexican hairless dog sitting on the grass with a leash; a photo of mexican hairless pit bull dog with blue eyes; a photo of mexican hairless dog standing in a grassy field; a photo of mexican hairless dog standing in a field of grass; ,305,"A photo of mexican hairless dog being pet by a person. A photo of a dog with a pink collar and a red leash. a photo of dog sitting on the floor. Overall, this is a photo of Mexican hairless",a photo of Mexican hairless,a dog photo of a Mexican hairless
EntleBucher,a photo of entlebucher sitting in a field with trees in the background; a photo of entlebucher puppy sitting in the grass with flowers; a photo of entlebucher dog sitting in the grass with a collar on; a photo of entlebucher sitting on the floor in front of a table; a photo of entlebucher dog laying in the grass with his tongue hanging out; a photo of entlebucher puppy chewing on a toy on the floor; a photo of entlebucher dog sitting on a bed with a red bandanna around his; a photo of entlebucher dog sitting on a bench with his tongue hanging out; a photo of entlebucher dog jumping in the air with his paws in the air; a photo of entlebucher sitting in the grass with a leash; a photo of entlebucher sitting on a brick patio with a watering can in the background; a photo of entlebucher standing in a field with his tongue out; a photo of entlebucher dog with tongue out and tongue out; a photo of entlebucher dog sitting on a mossy stump in the woods; a photo of entlebucher sitting in the grass with his tongue out; a photo of entlebucher puppy sitting in the grass; a photo of entlebucher dog running in a field of grass; a photo of entlebucher dog laying on the ground with his tongue out; a photo of entlebucher dog laying on the ground under a table; a photo of entlebucher puppy laying on the floor under a table; ,306,"A photo of entlebucher sitting in a field with trees in the background. A photo of a dog sitting on a bench with his tongue hanging out. a photo of dog with his paws in the air. Overall, this is a photo of EntleBucher",a photo of EntleBucher,a dog photo of a EntleBucher
Afghan_hound,a photo of afghan hound dog holding a woman in a living room; a photo of afghan hounder standing next to a woman in a yellow dress; a photo of afghan hound standing in front of a table with a zebra print bag; a photo of afghan hound standing in a grassy area with rocks in the background; a photo of afghan hound dog with long hair standing in front of a white background; a photo of afghan hound standing on a beach with a woman in the background; a photo of afghan hound dog sitting on steps in a city; a photo of afghan hound and woman in a field; a photo of afghan hounder with woman in front of trees; a photo of afghan hound dog laying on steps outside of a house; a photo of afghan hound dog sitting on a stone wall with a woman; a photo of afghan hound dog standing next to a man in a black shirt; a photo of afghan hound dog laying on a blue blanket; a photo of afghan hounder and owner at a dog show; a photo of afghan hound dog laying in the leaves in the yard; a photo of afghan hound standing on a stone path in front of a bush; a photo of afghan hound dog with owner in a field; a photo of afghan hound dog standing on a sidewalk in a park; a photo of afghan hound standing in a field of grass; a photo of afghan hound sitting in the back of a car with a woman; ,307,"A photo of afghan hound standing in a grassy area with rocks in the background. A photo of a dog with long hair standing in front of a white background. a photo of an afghan dog holding a woman in a living room. Overall, this is a photo of Afghan hound",a photo of Afghan hound,a dog photo of a Afghan hound
kuvasz,a photo of kuvaszka dog running in a field with a frisbee in its; a photo of kuvaszka puppy sitting on the grass; a photo of kuvaszka holding a white dog in his arms; a photo of kuvaszka dog laying in the grass with its tongue out; a photo of kuvaszka dog standing on a dirt road; a photo of kuvaszka puppy laying on the ground in the yard; a photo of kuvaszka dog laying in the grass; a photo of kuvaszka dog laying on the grass with his tongue hanging out; a photo of kuvaszka dog standing on a white background; a photo of kuvaszka dog standing in the snow in front of a forest; a photo of kuvaszka dog standing in a field with trees in the background; a photo of kuvaszka puppy standing on the ground; a photo of kuvaszka dog sitting in a car with his tongue out; a photo of kuvaszka dog leaning against a brick wall; a photo of kuvaszka with a white dog in her arms; a photo of kuvaszka puppy sitting in the grass in a field; a photo of kuvaszka dog standing in a field with a blue sky in the background; a photo of kuvaszka dog sitting in the snow; a photo of kuvasz grooming and care; a photo of kuvaszka dog being groomed by a man; ,308,"A photo of kuvaszka dog running in a field with a frisbee in its. A photo of a dog with its tongue hanging out; a photo of  a dog standing in the snow in front of a forest. A picture of a woman holding a white dog Overall, this is a photo of kuvasz",a photo of kuvasz,a dog photo of a kuvasz
English_foxhound,a photo of english foxhound dog sitting on a white background; a photo of english foxhound dog standing in front of a ball; a photo of english foxhound dog standing in a field; a photo of english foxhound dog standing in a field; a photo of english foxhound dog standing on a white background; a photo of english foxhound dog being pet by a person; a photo of english foxhound dog laying in the grass; a photo of english foxhound dog standing in a field; a photo of english foxhound standing in a field of grass; a photo of english foxhound dog standing in front of a fence; a photo of english foxhound dog standing in a field with a woman walking behind; a photo of english foxhound standing in a field with lawn chairs; a photo of english foxhound dog standing in a grassy field; a photo of english foxhound dog with a leash on a leash; a photo of english foxhound and beagle show at a dog show; a photo of english foxhound dog with tongue out walking in grassy area; a photo of english foxhound dog tied to a fence; a photo of english foxhound dog standing on a white background; a photo of english foxhound dog standing on a dirt path; a photo of english foxhound dog standing in front of a group of cows; ,309,"A photo of english foxhound dog sitting on a white background. A photo of a dog standing in front of a ball; a photo of English foxhound and beagle show at a dog show. A picture of an english fox Hound dog standing on a dirt path. Overall, this is a photo of English foxhound",a photo of English foxhound,a dog photo of a English foxhound
keeshond,a photo of keeshond puppy laying in the grass with his tongue out; a photo of keeshond dog sitting on the floor in front of a tread machine; a photo of keeshond puppy sitting in the grass looking at the camera; a photo of keeshond standing in a field of grass; a photo of keeshond dog sitting on the ground looking at the camera; a photo of keeshond dog standing in the grass looking up; a photo of keeshond puppy being held by a woman; a photo of keeshond sitting in the grass with its tongue out; a photo of keeshond dog standing in a field of grass; a photo of keeshond puppy in a cage with a red tag; a photo of keeshond dog standing in the snow with his tongue out; a photo of keeshond dog sitting on a bed with a blanket; a photo of keeshond dog with blue bow on head; a photo of keeshond dog laying on a wooden deck; a photo of keeshond puppy in a persons lap; a photo of keeshond dog laying in the grass with its tongue out; a photo of keeshond puppy sitting under a picnic table; a photo of keeshond dog standing on a path in front of a house; a photo of keeshond dog standing in the snow; a photo of keeshond dog sitting in a field of grass; ,310,"A photo of keeshond puppy sitting in the grass with his tongue out. A photo of dog sitting on the floor in front of a tread machine. Photo of dog with blue bow on head. Overall, this is a photo of keeshond",a photo of keeshond,a dog photo of a keeshond
Irish_wolfhound,a photo of irish wolfhound dog standing on gravel road in front of trees; a photo of irish wolfhound and a woman standing in a field; a photo of irish wolfhound dog sitting on a bench in a garden; a photo of irish wolfhound dog sitting on a deck; a photo of irish wolfhound sitting in the shade of a tree; a photo of irish wolfhound dog sitting in front of a painting; a photo of irish wolfhound dog laying on the grass; a photo of irish wolfhound standing in a field of grass; a photo of irish wolfhound dog in a tunnel with people; a photo of irish wolfhound dog and a little boy walking down a road; a photo of irish wolfhound standing in a field with trees in the background; a photo of irish wolfhound dog laying in the grass with ducks; a photo of irish wolfhound dressed in red and a guard dog in red; a photo of irish wolfhound in a red coat in the snow; a photo of irish wolfhound running in the snow; a photo of irish wolfhound dog laying in the grass; a photo of irish wolfhound dog with his tongue out in the grass; a photo of irish wolfhound puppy sitting on a white background; a photo of irish wolfhound walking in the snow; a photo of irish wolfhound dog standing on its hind legs; ,311,"A photo of irish wolfhound dog in a field with trees in the background. A photo of the dog in the grass with ducks; a photo of a dog dressed in red and a guard dog in red. A picture of the wolfhound in a tunnel with people. Overall, this is a photo of Irish wolfhound",a photo of Irish wolfhound,a dog photo of a Irish wolfhound
